,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
581636,for_sale,1680000.0,9.0,6.0,0.07,"4694 Bedford Ave, Brooklyn, NY, 11235",4694 Bedford Ave,Brooklyn,New York,3780.0,11235
581640,for_sale,500000.0,2.0,2.0,0.22,"12 Lenox Rd, Jackson, NJ, 08527",12 Lenox Rd,Jackson,New Jersey,1900.0,08527
581647,for_sale,50000.0,2.0,2.0,0.11,"35 Hibiscus Pl, Jackson, NJ, 08527",35 Hibiscus Pl,Jackson,New Jersey,1032.0,08527
581674,for_sale,499000.0,3.0,2.0,0.28,"16 Kings North Rd, Jackson, NJ, 08527",16 Kings North Rd,Jackson,New Jersey,2449.0,08527
581772,for_sale,1999999.0,5.0,5.0,1.93,"53 Navesink Ave, Rumson, NJ, 07760",53 Navesink Ave,Rumson,New Jersey,3800.0,07760
581786,for_sale,140000.0,2.0,2.0,0.11,"4 Rose Dr, Jackson, NJ, 08527",4 Rose Dr,Jackson,New Jersey,1248.0,08527
581892,for_sale,799000.0,4.0,2.0,0.12,"24 W Granada Dr, Brick, NJ, 08723",24 W Granada Dr,Brick,New Jersey,2328.0,08723
581893,for_sale,2499000.0,4.0,3.0,0.28,"1314 Ocean Ave, Mantoloking, NJ, 08738",1314 Ocean Ave,Mantoloking,New Jersey,2249.0,08738
581901,for_sale,8499000.0,6.0,7.0,0.6,"1113 Ocean Ave, Mantoloking, NJ, 08738",1113 Ocean Ave,Mantoloking,New Jersey,7000.0,08738
581913,for_sale,575000.0,3.0,2.0,0.15,"50 Colchester Dr, Jackson, NJ, 08527",50 Colchester Dr,Jackson,New Jersey,2668.0,08527
581916,for_sale,469900.0,3.0,3.0,0.3,"41 Brookfield Dr, Jackson, NJ, 08527",41 Brookfield Dr,Jackson,New Jersey,3000.0,08527
581928,for_sale,1099999.0,5.0,3.0,0.46,"20 Bellagio Rd, Jackson, NJ, 08527",20 Bellagio Rd,Jackson,New Jersey,3300.0,08527
581937,for_sale,1399888.0,4.0,3.0,0.06,"179 Norfolk St, Brooklyn, NY, 11235",179 Norfolk St,Brooklyn,New York,1672.0,11235
581946,for_sale,1100000.0,3.0,3.0,0.05,"2345 E 28th St, Brooklyn, NY, 11229",2345 E 28th St,Brooklyn,New York,3592.0,11229
581948,for_sale,1888000.0,9.0,5.0,0.07,"2352 W 12th St, Brooklyn, NY, 11223",2352 W 12th St,Brooklyn,New York,4564.0,11223
581996,for_sale,650000.0,3.0,2.0,0.11,"12 E Esplanade, Brick, NJ, 08723",12 E Esplanade,Brick,New Jersey,1638.0,08723
582014,for_sale,3199000.0,5.0,5.0,0.13,"311 Barkentine Ln, Mantoloking, NJ, 08738",311 Barkentine Ln,Mantoloking,New Jersey,3400.0,08738
582038,for_sale,619000.0,2.0,2.0,0.16,"73 Yates Rd, Manalapan, NJ, 07726",73 Yates Rd,Manalapan,New Jersey,2070.0,07726
582050,for_sale,785000.0,4.0,3.0,0.11,"138 Saint Lawrence Blvd, Brick, NJ, 08723",138 Saint Lawrence Blvd,Brick,New Jersey,2600.0,08723
582060,for_sale,1690000.0,10.0,4.0,0.08,"1809 Voorhies Ave, Brooklyn, NY, 11235",1809 Voorhies Ave,Brooklyn,New York,2958.0,11235
582074,for_sale,390000.0,3.0,2.0,0.17,"74 Pacific Ocean Dr, Brick, NJ, 08723",74 Pacific Ocean Dr,Brick,New Jersey,1166.0,08723
